CO_NCM;NO_NCM_ING
30045090;Medicament c/oth.vitamins/provitamins, etc.in doses
30049011;Medicament containing streptokinase, in doses
30049012;Medicament containing l-asparaginase, in doses
30049013;Medicament containing deoxyribonuclease, in doses
30049019;Medicament containing enzymes, in doses
30049021;Medicament c/permethrin/propatyl nitrate, etc.in doses
33012919;Essential oil, of eucalyptus
33012921;Other essential oils, of lavender
33012922;Essential oil, of vetiver
33012990;Other essential oils
33013000;Resinoids
33019010;Concent.of essential oils in fats of treatment of flow.
32100020;Other varnishes
32100030;Prep.water pigments kind used forfinishing leather
32110000;Prepared driers
32121000;Stamping foils
32129010;Aluminum in powd., etc, pasted with solvent hidrocarbon
32129090;Oth.pigments, dispersed in non-aqueous, liquid, etc.
32131000;Colours in sets, forartistic painting, educat.activit, etc
32139000;Other colours, forartistic painting, educat.activit, etc
32141010;Grafting putty, resin cements, other mastics
32141020;Painters' fillings
32149000;Fillings non-refractory used in masonry
32151100;Black ink, of printing
32151900;Other  ink, of printing
32159000;Ink od writing or drawing ink and other inks
33011100;Essential oil, of bergamot
38083022;Herbicide based on atrazine, alachlor, diuron or ametrine
38083023;Herbicide based on glyphosate/its salts, imazaquin, etc
38083024;Herbicide based on paraquat dichloride, propanil, etc
38083025;Herbicide based on pentachlorophenol/its salts, etc.
38083026;Herbicide based on imazethapyr
33019020;Terpenic by-prod.of the deterpenation of essent.oils
33019030;Aqueous distillates arom./aqueous solut.of essent.oils
33019040;Extracted oleoresins
33021000;Mixtures used basic matter forfood or drink industries
33029011;Vetiverol for perfumery
33029019;Other mixtures used as basic matter forperfumery
33029090;Other mixtures used as basic matter forindustry
33030010;Perfumes (extracts)
33030020;Cologne water
33041000;Lip make-up preparations
33042010;Eyeshadow, liner, pencil forbrows and mascara
33042090;Other product of eye make-up
33043000;Manicure or pedicure preparations
33049100;Powders, whether or not compressed, for make-up
33049910;Creams of beauty, nutritious creams and tonic lotions
38089124;Insecticide based on disulfoton or endosulfan
38089125;Insecticide based on aluminium phosphide
60063130;Other knitted or crocheted fabrics of synthetic fibers, unbleached or bleached, acrylic or modacrylic
60063190;Other knitted or crocheted fabrics, of synthetic fibers, unbleached or bleached, other types
60063200;Other fabrics of mesh, synthetic fibres, dyed
60063210;Other knitted or crocheted fabrics of synthetic fibers, dyed, nylon or other polyamides
60063220;Other knitted or crocheted fabrics of synthetic fibers, dyed, of polyester
60063230;Other knitted or crocheted fabrics of synthetic fibers, dyed, acrylic or modacrylic
52064500;Cotton yarn<85%, twisted, fibr.comb.title<125decitex
52071000;Cotton yarn>=85%, for retail sale
52079000;Other cotton yarns, for retail sale
52081100;Fabric of cotton>=85%, raw, point taffeta, w<=100g/m2
52081200;Fabric of cotton>=85%, raw, point taff.100<w<=200g/m2
52081300;Fabric of cotton>=85%, raw, point twill, w<=200g/m2
52081900;Other fabrics of cotton>=85%, raw, weight<=200g/m2
55092200;Yarn of polyesters fibres>=85%, multiple(folded)/cabled
55093100;Yarn of acrylics/modacrylics fibres>=85%, single
55093200;Yarn of acrylics/modacrylics fibres>=85%, folded, etc
55094100;Yarn of other synthetic fibres>=85%, single
55094200;Yarn of oth.synthet.fibres>=85%, multip.(folded)/cabled
55095100;Yarn of fibres of polyesters with artificial fibres
55095200;Yarn of fibres of polyesters with wool/fine animal hair
55095300;Yarn of fibres of polyesters with cotton
55095900;Other yarn of fibres of polyesters
55096100;Yarn of acrylics/modacr.fibres with wool/fine anim.hair
55096200;Yarn of acrylics/modacrylics fibres with cotton
55096900;Other yarn of acrylics/modacrylics fibres
55099100;Yarn of other synth.fibres with wool/fine anim.hair
55099200;Yarn of other synthetic fibres with cotton
55099900;Other yarns of synthetic fibres
55101100;Yarn of artificial fibres>=85%, single
55101111;Yarns containing at least 85%, by weight, of artificial staple fibers, simple, obtained from cellulose fibers, of rayon viscose, except modal
57023100;Carpet, etc.of wool/fine animal hair, velvet, n/made-up
57023200;Carpet, etc.of textile mater.synt/artif.velvet, n/made-up
57023900;Carpet, etc.of other textile materials, velvet, n/made-up
57024100;Carpet, etc.of fine animal hair, velvet, made-up
57024200;Carpet, etc.of textile mater.syn/artif.velvet, made-up
57024900;Carpet, etc.of oth.textile mater., velvet, made-up
57025010;Carpets floor covering, n/velvet, n/made-up,of wool/fine animal hair
57025020;Carpets floor covering, n/velvet, n/made-up,of synthetic material
57025090;Carpets floor covering, n/velvet, n/made-up,of other materials
57025100;Carpet, etc.of fine animal hair, n/velvet, n/made-up
57025200;Carpet, etc.of textile mat.syn/artif.n/velvet, n/made-up
57025900;Carpet, etc.of oth.textile materials, n/velvet, n/made-up
57029100;Carpet, etc.of wool/fine anim.hair, n/velvet, made-up
57029200;Carpet, etc.of textile mater.syn/art.n/velvet, made-up
57029900;Carpet, etc.of oth.textile materials, n/velvet, made-up
57031000;Carpet/cover.f/pavem.of wool/fine animal hair, tufted
48234000;Diagram paper forrecording apparels, in rolls/sheets, etc
48235100;Paper/paperboard forwriting etc.printed/perforated
48235900;Oth.paper/paperb.forwriting etc.printed/graphic uses
72181000;Stainless steel in ingots or other primary forms
72189100;Semi-manufactured prod.stainless steel cross-section
72189900;Oth.semi-manufactured prod., of stainless steel
72191100;Hot-rolled stainless steel, w>=600mm, rolls, t>10mm
72191200;Hot-rolled stainl.steel, w>=600mm, rolls, 4.75mm<=t<=10mm
72191300;Hot-rolled stainl.steel, w>=600mm, rolls, 3mm<=t<4.75mm
72191400;Hot-rolled stainless steel, w>=600mm, rolls, t<3mm
72192100;Hot-rolled stainless steel, w>=600mm, n/coils, t>10mm
35069110;Adhesives based on rubber
35069120;Adhesives based dispersed plastics, fordispersing, etc
35069190;Other adhesives based on plastics
65069100;Other headgear of rubber or plastic
65069200;Other headgear of furskin
65069900;Other headgear of other materials, exc.mesh
65070000;Strips f/interior garrison, linings, etc.f/headgear
66011000;Garden or similar umbrellas
66019110;Umbrellas of stem/telescop.shaft with silk fabric
66019190;Other umbrellas of stem/telescopic shaft
66019900;Other umbrellas and sun umbrellas
66020000;Walking-sticks, seat-sticks, whips and the like
66031000;Handles and knobs f/umbrellas, etc.
66032000;Umbrella frames
66039000;Other parts, trimmings and accessor.f/umbrella, etc
67010000;Skins/oth.parts of birds with their feathers, etc.worked
67021000;Artific.flowers, foliage, fruit and parts thereof, plastic
67029000;Artific.flowers, foliag.fruit and parts thereof, oth.mat.
67030000;Human hair, wool and oth.textile mat.prep.f/wigs produc.
70195210;Fabric of glass fibres, f/produc.plates of electric circ
70195290;Oth.fabric glass fibres, w>30cm, plain weave, w<250g/m2
70195900;Other woven fabric of glass fibres
70199000;Other glass fibres and articles thereof
70199010;Out.fib.c/fios paral.e superp.ang90º 3>=d<=7 fios cm2
70199090;Outras fibras de vidro e suas obras
70200000;Other articles of glass
70200010;Glass inners for vacuum flask, other vaccum vessels
70200090;Other articles of glass not stated
71011000;Natural pearls, not mounted or set
71012100;Pearls, cultured, unworked, n/mounted or set
71012200;Pearls, cultured, unworked, n/mounted or set
71021000;Diamonds, unsorted, unworked, n/mounted or set
71022100;Industrial diamonds, simply sawn or bruted, cleaved, etc.
71022900;Industrial diamonds, n/mounted or set
30043914;Medicament containing acth (corticotrophin), in doses
30043915;Medicament c/pmsg (serum gonadotrophin), in doses
30043917;Medicament containing buserelin or its acetate, in doses
30043918;Medicament containing triptorelin or its salts, in doses
30043919;Medicament containing leuprolide, in doses
30043921;Medicament containing lh-rh (gonadorelin), in doses
30043922;Medicament containing oxytocin, in doses
30043923;Medicament containing insulin salts, in doses
30043924;Medicament containing timosins, in doses
30043925;Medicament containing calcitonin, in doses
30043926;Medicament containing octreotide, in doses
30043927;Medicament containing goserelin or its acetate, in doses
30043916;Medicament c/somatostatin or its salts, in doses
30043928;Medicament containing nafarelin or its acetate, in doses
30043929;Medicament cont.oth.polypeptides hormones, etc.in doses
30043931;Medicament contain.oestradiol hemisuccinate, in doses
32099011;Paint of polytetrafluoroethylene, disper./dissol.aqueous
32099019;Paint of oth.synt.polymers, etc, dispersed/dissol.aqueous
32099020;Varnishes of oth.synt.polymers, etc, disp./dissol.aqueous
32100010;Other paints
35040090;Oth.protein substances, their derivativ.and hide powder
32089039;Oth.polym.synt.solutions, etc, dispers./dissolv.n/aqueous
32091010;Paint acrylic/vinyl polymers, dispersed/dissol.n/aqueous
32091020;Varnishes of acrylic/vinyl.polim.disper./dissol.aqueous
38081021;"Insecticide based on acephate/""bacillus thuringiensis"""
38081022;Insecticide based on cypermethrins or permethrin
38081023;Insecticide based on monocrotofos or dicrotofos
38081024;Insecticide based on disulfoton or endosulfan
38081025;Insecticide based on aluminium phosphide
38081026;Insecticide based on trichlorfon or dichlorvos
38081027;Insecticide based on mineral oils
38081028;Insecticie based on sulfluramid
38081029;Other inseticides presented in another way
38082010;Fungicides for direct household use
2071424;Boneless mechanically separated chicken meat, edible, frozen
39069063;Copolymer of ethyl acrylate, n-butyl acrylate and 2-methoxyethyl acrylate
38271190;Other mixtures containing chlorofluorocarbons (CFCs), even if containing hydrochlorofluorocarbons (HCFCs), perfluorocarbons (PFCs) or hydrofluorocarbons (HFCs), not classified in previous codes
97053100;Collections and collectors' pieces of numismatic interest, over 100 years old
28201010;Manganese dioxide with a MnO 2 content equal to or greater than 91% by weight (electrolytic manganese)
85441919;Other insulated wires f/winding,f/elect.use
39072999;Other polyethers, in primary forms, not classified under previous codes
90029090;Oth.lenses,prisms,mirrors and oth.optical elemen.mount.
90029010;Optomechanical switches, of the type used in optical data transmission networks, suitable for insertion mounting (PTH -Pin Through Hole)
85059019;Other electromagnets
84502020;Other machines, with a capacity not exceeding 18 kg
